"project","article","access","agent","granularity","date","en_views","id_views"
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-01-26,1016,1238
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-01-27,925,1218
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-01-28,815,1121
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-01-29,728,1019
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-01-30,669,876
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-01-31,699,1101
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-02-01,733,1006
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-02-02,993,1044
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-02-03,841,1143
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-02-04,881,1049
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-02-05,714,904
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-02-06,665,801
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-02-07,737,815
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-02-08,909,1007
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-02-09,943,1081
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-02-10,1017,1129
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-02-11,897,3248
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-02-12,898,3484
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-02-13,749,2917
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-02-14,850,1110
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-02-15,966,2809
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-02-16,937,4027
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-02-17,1135,3202
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-02-18,1837,1108
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-02-19,1113,918
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-02-20,768,819
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-02-21,957,973
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-02-22,1070,1034
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-02-23,905,1074
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-02-24,1102,1584
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-02-25,1041,1447
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-02-26,881,1134
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-02-27,810,1065
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-02-28,1025,1497
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-02-29,929,1401
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-03-01,926,1211
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-03-02,1037,1284
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-03-03,857,1140
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-03-04,772,1029
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-03-05,635,920
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-03-06,720,1064
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-03-07,1299,1079
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-03-08,953,874
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-03-09,892,1018
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-03-10,1344,1765
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-03-11,1115,1767
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-03-12,931,1420
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-03-13,862,1204
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-03-14,1157,1153
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-03-15,1410,1196
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-03-16,1231,1138
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-03-17,987,1252
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-03-18,942,1207
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-03-19,748,988
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-03-20,1072,1108
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-03-21,1006,1084
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-03-22,941,1691
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-03-23,1002,1520
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-03-24,873,1067
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-03-25,756,812
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-03-26,708,901
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-03-27,796,949
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-03-28,901,947
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-03-29,2095,2060
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-03-30,1013,1067
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-03-31,823,1047
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-04-01,773,1029
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-04-02,942,864
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-04-03,929,1114
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-04-04,940,1588
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-04-05,979,1115
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-04-06,1084,1063
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-04-07,866,1007
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-04-08,796,973
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-04-09,672,896
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-04-10,806,1078
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-04-11,869,999
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-04-12,903,1061
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-04-13,951,1049
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-04-14,878,929
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-04-15,995,966
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-04-16,773,786
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-04-17,881,944
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-04-18,1307,960
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-04-19,1129,954
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-04-20,985,1100
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-04-21,1005,992
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-04-22,1030,1020
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-04-23,776,924
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-04-24,803,904
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-04-25,1178,1058
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-04-26,1204,1010
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-04-27,1068,1048
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-04-28,1154,1055
"wikipedia","Joko_Widodo","all-access","all-agents","daily",2016-04-29,1074,1004
